char,male,female
鑾,658,693
棵,656,49
岷,652,146
警,651,1204
班,650,130
敖,649,93
資,648,234
礦,647,54
佶,646,201
報,646,47
鷺,645,871
尼,645,378
荷,642,3810
琮,641,187
徒,639,259
恕,639,135
諱,639,710
瑪,632,1128
皖,632,421
技,630,121
鏘,630,31
嬋,628,5691
粵,627,348
蘋,623,4835
琥,623,54
卜,622,208
侯,622,200
遂,621,131
龔,620,157
援,619,209
琅,619,272
聽,618,270
翱,617,170
棉,615,509
蕭,615,625
停,615,480
刁,614,460
席,613,131
臘,607,1659
娃,607,1157
蜀,605,414
輯,605,137
議,604,177
適,603,148
愉,603,592
度,601,96
姝,600,7334
神,598,93
弦,597,412
鈿,597,176
就,597,202
殷,596,492
函,596,816
約,594,182
忻,594,468
管,591,63
快,591,135
荔,589,1493
頡,588,405
麥,588,580
薛,587,340
分,585,449
載,582,83
皎,580,1162
葳,579,683
肅,579,271
彧,578,251
坪,576,310
糧,575,49
命,572,85
市,572,172
葦,571,711
佛,570,92
凝,568,1824
蚵,567,107
項,566,139
貢,562,36
訊,560,87
伸,560,58
驕,560,452
燮,560,141
的,558,214
焯,558,116
沫,557,603
交,551,178
閃,551,1108
畏,551,113
鎏,551,259
足,550,192
緣,550,681
喻,548,460
琿,548,196
湃,548,59
檢,544,155
泗,543,86
抗,542,217
綺,542,2736
親,540,370
封,537,83
頤,537,529
煬,537,111
宵,537,443
樣,535,185
腸,533,347
島,532,65
演,530,186
老,530,113
遼,529,131
嘎,527,287
商,527,118
驚,526,162
柄,526,58
顧,525,166
卯,524,103
冕,524,202
八,524,194
造,523,52
場,520,113
鄧,516,145
回,513,289
滌,512,194
佟,510,162
兢,509,268
女,509,3967
皆,508,70
邁,506,125
晚,504,703
塔,504,277
鹿,504,349
荃,502,506
饒,502,176
歧,502,57
仿,501,195
固,500,61
弼,500,71
悠,500,592
狀,500,37
搏,499,63
裔,499,176
淨,498,1148
持,498,74
歲,497,178
邊,495,93
極,495,85
宴,494,229
奔,494,23
蔣,493,137
晃,491,43
鑌,491,54
碎,490,457
活,490,69
門,489,131
弓,489,90
境,488,221
笙,488,107
飆,488,22
閔,487,201
激,486,239
須,485,68
賚,484,303
暖,482,543
瑗,481,1100
產,481,40
贇,481,273
亢,481,150
懂,481,63
乘,480,86
涼,479,220
啟,477,60
性,477,76
哈,476,251
賡,476,33
者,475,103
圍,475,202
采,473,755
棚,472,118
滄,472,31
姐,471,873
蕙,470,1646
接,469,97
不,468,137
荊,467,273
郡,464,451
舫,464,314
芮,463,1497
壇,462,152
忍,462,148
第,461,115
簧,461,266
聘,460,214
換,459,880
鰲,458,63
悌,458,94
問,458,321
孚,455,67
隴,454,97
執,453,51
央,451,974
睦,450,67
階,450,37
樵,449,74
甘,447,198
庸,447,75
姿,447,2712
證,446,75
托,445,175
弢,444,59
轉,444,1154
翎,444,723
鄂,444,188
笠,444,137
循,441,87
論,441,76
悟,441,66
豆,440,746
配,440,271
羲,440,180
速,440,136
扎,439,77
捍,439,54
盾,439,67
灃,438,85
茵,437,3092
移,437,126
店,436,37
漫,436,1691
充,435,64
宮,433,111
盧,431,166
當,429,647
玫,428,3282
評,427,161
身,426,50
穆,426,198
與,425,145
壹,424,132
築,424,229
嵬,424,56
稼,423,106
空,422,87
俏,421,1642
是,420,107
芒,417,1472
蔡,417,279
宛,416,1120
齋,416,68
曝,416,556
那,414,350
鶯,413,3614
罕,412,187
愈,412,120
芄,407,309
草,407,426
燚,407,97
毫,406,30
飄,404,597
漪,403,1524
藩,401,55
鏑,401,88
薪,401,439
鉉,400,80
買,399,112
爵,399,36
恬,398,1485
鎰,398,51
檳,398,97
欲,397,157
濠,397,355
燊,397,43
茁,397,155
廳,397,50
拯,395,27
庶,395,71
瞻,393,96
右,393,78
